Blekinge	 Karlskrona	 Karlskrona	 Blekingesjukhuset	 Apoteket Eken	 Grupp 7 (Vårdapoteket i Norden)
Norrbotten	 Luleå	 Luleå	 Storstigen 26	 Apoteket Örnen	 Grupp 1 (Apotek Hjärtat)
Norrbotten	 Boden	 Boden	 Kungsgatan 42	 Apoteket Laxen	 Kvar i Apoteket AB
Norrbotten	 Boden	 Harads	 Edestrandsvägen 4D	 Apoteket Harads	 Kvar i Apoteket AB
Norrbotten	 Älvsbyn	 Älvsbyn	 Storgatan 27	 Apoteket Pärlan	 Grupp 1 (Apotek Hjärtat)
Norrbotten	 Piteå	 Öjebyn	 Hällanvägen 11	 Apoteket Trasten	 Grupp 1 (Apotek Hjärtat)
Norrbotten	 Piteå	 Norrfjärden	 Vårdgränd 1	 Apoteket Myran	 Grupp 2 (Kronans Droghandel)
Norrbotten	 Piteå	 Hortlax	 Dammbrovägen 1	 Apoteket Vargen	 Kvar i Apoteket AB
Norrbotten	 Piteå	 Piteå	 Piteå älvdals sjukhus	 Apoteket Lärkan	 Grupp 1 (Apotek Hjärtat)
Norrbotten	 Piteå	 Piteå	 Uddmansgatan 7	 Apoteket Renen	 Kvar i Apoteket AB
Norrbotten	 Arjeplog	 Arjeplog	 Storgatan 1	 Apoteket Myggan	 Grupp 2 (Kronans Droghandel)
Norrbotten	 Arvidsjaur	 Arvidsjaur	 Östra Skolgatan 18A	 Apoteket Polstjärnan	 Grupp 2 (Kronans Droghandel)
Norrbotten	 Kalix	 Kalix	 Skolgatan 1	 Apoteket Manhem	 Kvar i Apoteket AB
Norrbotten	 Kalix	 Kalix	 Strandgatan 10	 Apoteket Kronan	 Småföretagare
Norrbotten	 Haparanda	 Haparanda	 Lasarettsgatan 34	 Apoteket Aspen	 Kvar i Apoteket AB
Norrbotten	 Övertorneå	 Övertorneå	 Matarengivägen 27	 Apoteket Svarta Räven	 Kvar i Apoteket AB
Norrbotten	 Överkalix	 Överkalix	 Hantverksgatan 2	 Apoteket Björnen	 Kvar i Apoteket AB
Norrbotten	 Kiruna	 Kiruna	 Thulegatan 29	 Apoteket Ripan	 Kvar i Apoteket AB
Norrbotten	 Kiruna	 Kiruna	 Meschplan 3 (fd posten)	 Apoteket Renen	 Grupp 1 (Apotek Hjärtat)
Norrbotten	 Kiruna	 Vittangi	 Vårdcentralen	 Apoteket Vittangi	 Grupp 1 (Apotek Hjärtat)
Norrbotten	 Gällivare	 Malmberget	 Stallvägen 3 Malmbergets vårdcentral	 Apoteket Polstjärnan	 Grupp 2 (Kronans Droghandel)
Norrbotten	 Gällivare	 Gällivare	 Storgatan 15	 Apoteket Älgen	 Småföretagare
Norrbotten	 Gällivare	 Gällivare	 Källgatan 14	 Apoteket Diamanten	 Grupp 2 (Kronans Droghandel)
Norrbotten	 Pajala	 Pajala	 Malmen	 Apoteket Lappugglan	 Kvar i Apoteket AB
Norrbotten	 Jokkmokk	 Jokkmokk	 Storgatan 40	 Apoteket Akkjan	 Småföretagare
Norrbotten	 Luleå	 Luleå	 Sunderby sjukhus	 Apoteket Blåklockan	 Kvar i Apoteket AB
Norrbotten	 Luleå	 Luleå	 Robertviksgatan 9	 Apoteket Viken	 Kvar i Apoteket AB
Norrbotten	 Boden	 Boden	 Ugglegatan 14	 Apoteket Lavskrikan	 Småföretagare
Norrbotten	 Luleå	 Luleå	 Smedjan Storgatan 36-38	 Apoteket Shop Luleå	 Kvar i Apoteket AB
Norrbotten	 Luleå	 Luleå	 Storhedsvägen 1	 Apoteket Tärnan	 Småföretagare
Norrbotten	 Piteå	 Piteå	 Storgatan 41	 Apoteket Falken	 Grupp 2 (Kronans Droghandel)
Norrbotten	 Haparanda	 Haparanda	 Norrskensgatan 4 Ikanohuset	 Apoteket Hjortronet	 Grupp 2 (Kronans Droghandel)
Skåne	 Helsingborg	 Helsingborg	 Drottninggatan 14	 Apoteket Björnen	 Småföretagare
Skåne	 Helsingborg	 Ödåkra	 Väla Centrum	 Apoteket Väla	 Kvar i Apoteket AB
Skåne	 Helsingborg	 Helsingborg	 Lasarettet E-Plan	 Apoteket Kärnan	 Grupp 7 (Vårdapoteket i Norden)
Skåne	 Helsingborg	 Helsingborg	 Södergatan 19	 Apoteket Lejonet	 Grupp 5 (Medstop)
Skåne	 Helsingborg	 Helsingborg	 O.D. Krooksgatan 53	 Apoteket Stattena	 Grupp 1 (Apotek Hjärtat)
Skåne	 Helsingborg	 Helsingborg	 Blåkullagatan 5	 Apoteket Staren	 Grupp 5 (Medstop)
Skåne	 Svalöv	 Svalöv	 Herrevadsgatan 11	 Apoteket Linden	 Småföretagare
Skåne	 Landskrona	 Landskrona	 Storgatan 34	 Apoteket Lejonet	 Kvar i Apoteket AB
Skåne	 Landskrona	 Landskrona	 Vattenverksallén	 Apoteket Kronan	 Grupp 7 (Vårdapoteket i Norden)
Skåne	 Landskrona	 Landskrona	 Pjäsgatan 4	 Apoteket Vipan	 Grupp 1 (Apotek Hjärtat)
Skåne	 Höganäs	 Höganäs	 Storgatan 33A	 Apoteket Puman	 Grupp 5 (Medstop)
Skåne	 Helsingborg	 Råå	 Rååvägen 45	 Apoteket Svanen	 Kvar i Apoteket AB
Skåne	 Bjuv	 Bjuv	 Mejerigatan 1B	 Apoteket Bjuv	 Småföretagare
Skåne	 Helsingborg	 Helsingborg	 Elinebergsplatsen 5	 Apoteket Biet	 Kvar i Apoteket AB
Skåne	 Lund	 Lund	 Mårtenstorget 12	 Apoteket Hjorten	 Grupp 8 (Apotek Hjärtat)
Skåne	 Lund	 Lund	 S:t Lars Sjukhusområde	 Apoteket S:t Lars	 Kvar i Apoteket AB
Skåne	 Lund	 Lund	 Getingevägen 8	 Apoteket Getingen	 Grupp 7 (Vårdapoteket i Norden)
Skåne	 Lund	 Lund	 Fäladstorget 20	 Apoteket S:t Hans	 Grupp 5 (Medstop)
Skåne	 Lund	 Lund	 Kyrkogatan 5	 Apoteket Svanen	 Kvar i Apoteket AB
Skåne	 Lomma	 Lomma	 Strandvägen 96	 Apoteket Tärnan	 Grupp 1 (Apotek Hjärtat)
Skåne	 Lund	 Dalby	 Kristers väg 21	 Apoteket Gladan	 Kvar i Apoteket AB
Skåne	 Lund	 Södra Sandby	 Revingevägen 2	 Apoteket Ugglan	 Grupp 5 (Medstop)
Skåne	 Eslöv	 Eslöv	 Södergatan 8c	 Apoteket Storken	 Grupp 1 (Apotek Hjärtat)
Skåne	 Eslöv	 Löberöd	 Storgatan 27	 Apoteket Fasanen	 Grupp 1 (Apotek Hjärtat)
Skåne	 Hörby	 Hörby	 Storgatan 17A	 Apoteket Kronan	 Grupp 2 (Kronans Droghandel)
Skåne	 Höör	 Höör	 Storgatan 2	 Apoteket Kronan	 Grupp 5 (Medstop)
Skåne	 Kävlinge	 Kävlinge	 Kvarngatan 21	 Apoteket Kronan	 Kvar i Apoteket AB
Skåne	 Staffanstorp	 Staffanstorp	 Storgatan 4	 Apoteket Humlan	 Grupp 1 (Apotek Hjärtat)
Skåne	 Lomma	 Bjärred	 Vikingavägen 1	 Apoteket Vågen	 Småföretagare
Skåne	 Burlöv	 Arlöv	 Kronetorpsvägen 2	 Apoteket Källan	 Kvar i Apoteket AB
Skåne	 Lund	 Lund	 Vikingavägen 31	 Apoteket Linero	 Kvar i Apoteket AB
Skåne	 Kristianstad	 Degerberga	 Brades väg 5	 Apoteket Gladan	 Grupp 2 (Kronans Droghandel)
Skåne	 Båstad	 Förslöv	 Färgerivägen 2A	 Apoteket Anden	 Grupp 2 (Kronans Droghandel)
Skåne	 Ängelholm	 Ängelholm	 Midgårdsgatan 1	 Apoteket Solrosen	 Kvar i Apoteket AB
Skåne	 Ängelholm	 Munka-Ljungby	 Östra Storgatan 14	 Apoteket Lärkan	 Kvar i Apoteket AB
Skåne	 Malmö	 Malmö	 Kronprinstorget	 Apoteket Kronprinsen	 Grupp 5 (Medstop)
Skåne	 Malmö	 Limhamn	 Linnégatan 41	 Apoteket Svanen	 Grupp 2 (Kronans Droghandel)
Skåne	 Malmö	 Malmö	 MAS Ingång 42	 Apoteket Stjärnan UMAS	 Grupp 7 (Vårdapoteket i Norden)
Skåne	 Malmö	 Malmö	 Kirsebergstorg 15	 Apoteket Måsen	 Småföretagare
Skåne	 Malmö	 Malmö	 Östra Förstadsgatan 56 Värnhemstorget	 Apoteket Fasanen	 Kvar i Apoteket AB
Skåne	 Malmö	 Malmö	 Svansjögatan 1	 Apoteket Fläkta Örn	 Grupp 1 (Apotek Hjärtat)
Skåne	 Malmö	 Malmö	 Anna Lindhs plats 2, Malmö	 Apoteket Ellenbogen	 Grupp 5 (Medstop)
Skåne	 Malmö	 Malmö	 Stortorget 8	 Apoteket Lejonet	 Kvar i Apoteket AB
Skåne	 Malmö	 Malmö	 Nydalatorget 1	 Apoteket Hinden	 Kvar i Apoteket AB
Skåne	 Malmö	 Malmö	 Munkhättegatan 174	 Apoteket Ärlan	 Grupp 1 (Apotek Hjärtat)
Skåne	 Malmö	 Malmö	 Jägersro Center Jägersrovägen	 Apoteket Hägern	 Grupp 8 (Apotek Hjärtat)
Skåne	 Malmö	 Malmö	 Nobelvägen 36	 Apoteket Vipan	 Kvar i Apoteket AB
Skåne	 Malmö	 Oxie	 Stengodsvägen 133	 Apoteket Spoven	 Kvar i Apoteket AB
Skåne	 Malmö	 Malmö	 Bergsgatan 48	 Apoteket Gripen	 Kvar i Apoteket AB
Skåne	 Malmö	 Malmö	 Rosengård Centrum	 Apoteket Nyponet	 Grupp 2 (Kronans Droghandel)
Skåne	 Malmö	 Malmö	 Södra Förstadsgatan 34	 Apoteket Hjorten	 Grupp 1 (Apotek Hjärtat)
Skåne	 Ystad	 Ystad	 Stora Östergatan 11	 Apoteket Svanen	 Grupp 5 (Medstop)
Skåne	 Ystad	 Ystad	 Kristianstadvägen 3	 Apoteket Doppingen	 Kvar i Apoteket AB
Skåne	 Skurup	 Skurup	 St Torggatan 7	 Apoteket Svanen	 Grupp 5 (Medstop)
Skåne	 Sjöbo	 Sjöbo	 Västergatan 7	 Apoteket Ängeln	 Kvar i Apoteket AB
Skåne	 Vellinge	 Vellinge	 Östergatan 7	 Apoteket Pilen	 Småföretagare
Skåne	 Svedala	 Svedala	 Storgatan 26	 Apoteket Lönnen	 Kvar i Apoteket AB
Skåne	 Trelleborg	 Anderslöv	 Landsvägen 30	 Apoteket Falken	 Grupp 2 (Kronans Droghandel)
Skåne	 Trelleborg	 Trelleborg	 Lasarettet	 Apoteket Palmen	 Grupp 7 (Vårdapoteket i Norden)
Skåne	 Trelleborg	 Trelleborg	 Valens Köpcentrum Algatan 16	 Apoteket Svea	 Kvar i Apoteket AB
Skåne	 Vellinge	 Höllviken	 Falsterbovägen 68	 Apoteket Snäckan	 Grupp 5 (Medstop)
Skåne	 Vellinge	 Skanör	 Södergatan 13	 Apoteket Gässlingen	 Grupp 5 (Medstop)
Skåne	 Trelleborg	 Trelleborg	 Syster Jennys väg 2	 Apoteket Fagerängen	 Kvar i Apoteket AB
Skåne	 Malmö	 Malmö	 Stora Nygatan 31	 Apoteket Kronan	 Grupp 5 (Medstop)
Skåne	 Kristianstad	 Kristianstad	 Domus Östra Boulevarden 5	 Apoteket Svanen	 Grupp 5 (Medstop)
Skåne	 Kristianstad	 Kristianstad	 Ubbesväg 7	 Apoteket Björken	 Grupp 1 (Apotek Hjärtat)
Skåne	 Kristianstad	 Kristianstad	 Centralsjukhuset	 Apoteket Bikupan	 Grupp 7 (Vårdapoteket i Norden)
Skåne	 Kristianstad	 Åhus	 Köpmannagatan 22	 Apoteket Flädern	 Småföretagare
Skåne	 Kristianstad	 Tollarp	 Särlagatan 15-17	 Apoteket Storken	 Kvar i Apoteket AB
Skåne	 Östra Göinge	 Broby	 Tydingegatan 1	 Apoteket Kronan	 Grupp 1 (Apotek Hjärtat)
Skåne	 Tomelilla	 Brösarp	 Brunnsviksvägen 2	 Apoteket Hjorten	 Småföretagare
Skåne	 Tomelilla	 Tomelilla	 Centralgatan 2	 Apoteket Örnen	 Grupp 1 (Apotek Hjärtat)
Skåne	 Simrishamn	 Borrby	 Köpmangatan 2	 Apoteket Storken	 Småföretagare
Skåne	 Simrishamn	 Simrishamn	 Sjukhuset C Barnekows väg	 Apoteket Ankaret	 Grupp 7 (Vårdapoteket i Norden)
Skåne	 Simrishamn	 Simrishamn	 Storgatan 14B	 Apoteket Lejonet	 Småföretagare
Skåne	 Bromölla	 Bromölla	 Bruksgatan 5	 Apoteket Ödlan	 Kvar i Apoteket AB
Skåne	 Ängelholm	 Ängelholm	 Laxgatan 6	 Apoteket Kronan	 Grupp 5 (Medstop)
Skåne	 Ängelholm	 Ängelholm	 Sjukhuset	 Apoteket Linden	 Grupp 7 (Vårdapoteket i Norden)
Skåne	 Båstad	 Båstad	 Köpmansgatan 72	 Apoteket Svanen	 Grupp 2 (Kronans Droghandel)
Skåne	 Klippan	 Klippan	 Torggränd 1	 Apoteket Kronan	 Kvar i Apoteket AB
Skåne	 Åstorp	 Åstorp	 Esplanaden 11	 Apoteket Klinten	 Småföretagare
Skåne	 Hässleholm	 Bjärnum	 Södra vägen 1	 Apoteket Svalan	 Grupp 5 (Medstop)
Skåne	 Hässleholm	 Hässleholm	 Frykholmsgatan 4	 Apoteket Kronan	 Grupp 5 (Medstop)
Skåne	 Hässleholm	 Hässleholm	 Esplanadgatan Sjukhuset	 Apoteket Linné	 Kvar i Apoteket AB
Skåne	 Hässleholm	 Sösdala	 Föreningsgatan 5	 Apoteket Linden	 Kvar i Apoteket AB
Skåne	 Hässleholm	 Vinslöv	 Stora Torggatan 1	 Apoteket Eken	 Grupp 1 (Apotek Hjärtat)
Skåne	 Hässleholm	 Tyringe	 Hantverksgatan 19	 Apoteket Källan	 Grupp 2 (Kronans Droghandel)
Skåne	 Osby	 Osby	 Västra Järnvägsgatan 22	 Apoteket Dufwan	 Kvar i Apoteket AB
Skåne	 Osby	 Lönsboda	 Bokelundsgatan 5	 Apoteket Graniten	 Småföretagare
Skåne	 Perstorp	 Perstorp	 Torget 1	 Apoteket Näckrosen	 Kvar i Apoteket AB
Skåne	 Örkelljunga	 Örkelljunga	 Ängelholmsvägen 1B	 Apoteket Ljungen	 Kvar i Apoteket AB
Skåne	 Östra Göinge	 Knislinge	 Påls väg 2	 Apoteket Lärkan	 Småföretagare
Skåne	 Helsingborg	 Helsingborg	 Skaragatan 92	 Apoteket Rosen	 Grupp 1 (Apotek Hjärtat)
Skåne	 Kävlinge	 Löddeköpinge	 Center Syd	 Apoteket Haren	 Grupp 1 (Apotek Hjärtat)
Skåne	 Lund	 Lund	 Knut den Stores torg 2	 Apoteket S:t Knut	 Grupp 1 (Apotek Hjärtat)
Skåne	 Helsingborg	 Helsingborg	 Knutpunkten	 Apoteket Shop Knutpunkten	 Kvar i Apoteket AB
Skåne	 Kristianstad	 Kristianstad	 Stridsvagnsvägen 1	 Apoteket Norringen	 Kvar i Apoteket AB
Skåne	 Lund	 Lund	 Företagsvägen 10 Nova Lund	 Apoteket Shop Lund	 Grupp 1 (Apotek Hjärtat)
Skåne	 Helsingborg	 Ödåkra	 Väla Centrum	 Apoteket Shop Ödåkra	 Grupp 5 (Medstop)
Skåne	 Malmö	 Malmö	 Mobilia Shoppingcenter	 Apoteket Mobilia	 Kvar i Apoteket AB
Skåne	 Malmö	 Malmö	 Triangelns köpcentrum	 Apoteket Shop Triangeln	 Grupp 1 (Apotek Hjärtat)
Skåne	 Åstorp	 Hyllinge	 Familia köpcentrum	 Apoteket Nässlan	 Grupp 5 (Medstop)
Skåne	 Malmö	 Malmö	 Skomakaregatan 5	 Apoteket Shop Skomakaregatan	 Grupp 1 (Apotek Hjärtat)
Stockholm	 Stockholm	 Stockholm	 S:t Göransplan 1	 Apoteket Kastanjen	 Grupp 6 (Vårdapoteket i Norden)
Stockholm	 Sigtuna	 Sigtuna	 Stora gatan 56	 Apoteket Kronan	 Småföretagare
Stockholm	 Sigtuna	 Arlanda	 Sky City Arlanda Flygplats	 Flygplatsapoteket Arlanda	 Småföretagare
Stockholm	 Solna	 Solna	 Karolinska Universitetssjukhuset i Solna	 Apoteket Karolinen	 Kvar i Apoteket AB
Stockholm	 Solna	 Solna	 RadiumhemmetKarolinska Universitetssjukhuset i Solna	 Apoteket Karolinen Ra	 Kvar i Apoteket AB
Stockholm	 Stockholm	 Stockholm	 Karlbergsvägen 43B	 Apoteket Draken	 Småföretagare
Stockholm	 Stockholm	 Stockholm	 Scheelegatan 1	 Apoteket Påfågeln	 Grupp 3 (Medstop)
Stockholm	 Stockholm	 Stockholm	 Söderhallarna 104	 Apoteket Gripen	 Grupp 3 (Medstop)
Stockholm	 Stockholm	 Stockholm	 Storholmsgatan 21	 Apoteket Grisslan	 Grupp 1 (Apotek Hjärtat)
Stockholm	 Stockholm	 Hägersten	 Fruängstorget 2-6	 Apoteket Humlan	 Kvar i Apoteket AB
Stockholm	 Botkyrka	 Tumba	 Tumba Torg 1	 Apoteket Näckrosen	 Grupp 3 (Medstop)
Stockholm	 Täby	 Täby	 Stortorget 218	 Apoteket Svalan	 Grupp 8 (Apotek Hjärtat)
Stockholm	 Täby	 Täby	 Midgårdsvägen 4	 Apoteket Frigga	 Grupp 3 (Medstop)
Stockholm	 Solna	 Solna	 Bergshamra torg	 Apoteket Najaden	 Småföretagare
Stockholm	 Täby	 Täby	 Eskadervägen 4	 Apoteket Skeppet	 Småföretagare
Stockholm	 Österåker	 Åkersberga	 Stationsvägen 5 Åkersberga Centrum	 Apoteket Ankaret	 Grupp 3 (Medstop)
Stockholm	 Vaxholm	 Vaxholm	 Hamngatan 14	 Apoteket Lotsen	 Småföretagare
Stockholm	 Vallentuna	 Vallentuna	 Tuna Torg 20	 Apoteket Runan	 Grupp 1 (Apotek Hjärtat)
Stockholm	 Danderyd	 Danderyd	 Mörby Centrum Golfvägen 4	 Apoteket Eken	 Kvar i Apoteket AB
Stockholm	 Danderyd	 Djursholm	 Vendevägen 14	 Apoteket Tre Rosor	 Småföretagare
Stockholm	 Norrtälje	 Rimbo	 Uppsalavägen 1	 Apoteket Örnen	 Kvar i Apoteket AB
Stockholm	 Norrtälje	 Hallstavik	 Carl Wahrens väg 38C	 Apoteket Rospiggen	 Grupp 2 (Kronans Droghandel)
Stockholm	 Danderyd	 Danderyd	 Danderyds sjukhus	 Apoteket Misteln	 Grupp 6 (Vårdapoteket i Norden)
Stockholm	 Österåker	 Åkersberga	 ALCEA-huset	 Apoteket Livbojen	 Kvar i Apoteket AB
Stockholm	 Norrtälje	 Norrtälje	 Norrtälje sjukhus	 Apoteket Solrosen	 Grupp 6 (Vårdapoteket i Norden)
Stockholm	 Sollentuna	 Sollentuna	 Sollentuna Centrum	 Apoteket Strutsen	 Grupp 1 (Apotek Hjärtat)
Stockholm	 Sollentuna	 Rotebro	 Kung Hans väg 12B	 Apoteket Vallmon	 Småföretagare
Stockholm	 Sollentuna	 Sollentuna	 Edsbergs torg 6	 Apoteket Snäckan	 Grupp 3 (Medstop)
Stockholm	 Upplands-Väsby	 Upplands-Väsby	 Väsby Centrum	 Apoteket Kronan	 Grupp 8 (Apotek Hjärtat)
Stockholm	 Upplands-Väsby	 Upplands Väsby	 Löwenströmska sjukhuset	 Apoteket Löwenströmska sjukhuset	 Småföretagare
Stockholm	 Sigtuna	 Märsta	 Nymärsta kulle 2	 Apoteket Höken	 Grupp 3 (Medstop)
Stockholm	 Sigtuna	 Märsta	 Hammargatan 5	 Apoteket Vipan	 Småföretagare
Stockholm	 Stockholm	 Stockholm	 Norrtullsgatan 6	 Apoteket Örnen	 Grupp 8 (Apotek Hjärtat)
Stockholm	 Stockholm	 Stockholm	 Sturegallerian 38	 Apoteket Vita Björn	 Kvar i Apoteket AB
Stockholm	 Stockholm	 Stockholm	 Odengatan 30	 Apoteket Mården	 Grupp 3 (Medstop)
Stockholm	 Stockholm	 Stockholm	 Sveavägen 43	 Apoteket Leoparden	 Grupp 3 (Medstop)
Stockholm	 Stockholm	 Stockholm	 Klarabergsgatan 64	 Apoteket C W Scheele	 Kvar i Apoteket AB
Stockholm	 Stockholm	 Stockholm	 Drottninggatan 59	 Apoteket Shop Ugglan	 Kvar i Apoteket AB
Stockholm	 Stockholm	 Stockholm	 Västerlånggatan 16	 Apoteket Korpen	 Kvar i Apoteket AB
Stockholm	 Stockholm	 Stockholm	 Hamngatan 31	 Apoteket Lejonet	 Kvar i Apoteket AB
Stockholm	 Stockholm	 Stockholm	 Drottning Kristinas väg 1	 Apoteket Elgen	 Småföretagare
Stockholm	 Stockholm	 Stockholm	 Karlaplan 13	 Apoteket Falken	 Kvar i Apoteket AB
Stockholm	 Stockholm	 Stockholm	 Storgatan 28	 Apoteket Storken	 Kvar i Apoteket AB
Stockholm	 Lidingö	 Lidingö	 Stockholmsvägen 54 E	 Apoteket Tärnan	 Grupp 1 (Apotek Hjärtat)
Stockholm	 Lidingö	 Lidingö	 Högsätravägen 2	 Apoteket Doppingen	 Grupp 2 (Kronans Droghandel)
Stockholm	 Stockholm	 Stockholm	 Polhemsgatan 50	 Apoteket S:t Erik	 Småföretagare
Stockholm	 Stockholm	 Stockholm	 Rålambsvägen 12	 Apoteket Biet	 Kvar i Apoteket AB
Stockholm	 Stockholm	 Stockholm	 Drottningholmsvägen 14	 Apoteket Kungsmyntan	 Kvar i Apoteket AB
Stockholm	 Stockholm	 Stockholm	 Krukmakargatan 13	 Apoteket Enhörningen	 Grupp 8 (Apotek Hjärtat)
Stockholm	 Stockholm	 Stockholm	 Renstiernas gata 26	 Apoteket Renen	 Grupp 2 (Kronans Droghandel)
Stockholm	 Stockholm	 Stockholm	 Ringvägen 113	 Apoteket Sälen	 Grupp 1 (Apotek Hjärtat)
Stockholm	 Stockholm	 Stockholm	 Långholmsgatan 29	 Apoteket Lokatten	 Grupp 1 (Apotek Hjärtat)
Stockholm	 Stockholm	 Johanneshov	 Gullmarsplan 1	 Apoteket Myran	 Småföretagare
Stockholm	 Stockholm	 Bagarmossen	 Svartågatan 1	 Apoteket Liljan	 Grupp 1 (Apotek Hjärtat)
Stockholm	 Stockholm	 Årsta	 Hjälmarsvägen 26	 Apoteket Uttern	 Småföretagare
Stockholm	 Stockholm	 Enskededalen	 Dalens allé 5-7	 Apoteket Råbocken	 Grupp 2 (Kronans Droghandel)
Stockholm	 Stockholm	 Johanneshov	 Lågskärsvägen 12	 Apoteket Sländan	 Grupp 1 (Apotek Hjärtat)
Stockholm	 Stockholm	 Johanneshov	 Finn Malmgrens väg 9	 Apoteket Hinden	 Kvar i Apoteket AB
Stockholm	 Stockholm	 Stockholm	 Sjukhusbacken 10	 Apoteket Ringblomman	 Grupp 6 (Vårdapoteket i Norden)
Stockholm	 Nacka	 Nacka	 Nacka Närsjukhus Lasarettsvägen 4	 Apoteket Delfinen	 Småföretagare
Stockholm	 Nacka	 Saltsjöbaden	 Saltsjöbaden Centrum	 Apoteket Baggen	 Småföretagare
Stockholm	 Nacka	 Saltsjö-Boo	 Orminge Centrum	 Apoteket Tumlaren	 Småföretagare
Stockholm	 Värmdö	 Gustavsberg	 Gustavsberg Centrum	 Apoteket Fyren	 Kvar i Apoteket AB
Stockholm	 Stockholm	 Enskede	 Tussmötevägen 179	 Apoteket Tussilagon	 Kvar i Apoteket AB
Stockholm	 Nacka	 Nacka	 Romansvägen 10	 Apoteket Svanen	 Kvar i Apoteket AB
Stockholm	 Stockholm	 Farsta	 Farstaplan 2	 Apoteket Beckasinen	 Grupp 1 (Apotek Hjärtat)
Stockholm	 Stockholm	 Sköndal	 Sköndalsvägen 87	 Apoteket Näktergalen	 Småföretagare
Stockholm	 Stockholm	 Enskede	 Gubbängstorget 114	 Apoteket Trasten	 Grupp 1 (Apotek Hjärtat)
Stockholm	 Stockholm	 Bandhagen	 Högdalsgången 19	 Apoteket Shop Fasanen (del av Fasanen, Bandhagen)	 Grupp 1 (Apotek Hjärtat)
Stockholm	 Stockholm	 Bandhagen	 Hagsätra Torg 11	 Apoteket Morkullan	 Kvar i Apoteket AB
Stockholm	 Tyresö	 Tyresö	 Bollmoravägen 24D	 Apoteket Gladan	 Grupp 2 (Kronans Droghandel)
Stockholm	 Haninge	 Haninge	 Haninge Centrum	 Apoteket Rudan	 Grupp 8 (Apotek Hjärtat)
Stockholm	 Haninge	 Haninge	 Jordbro Centrum	 Apoteket Jordstjärnan	 Grupp 1 (Apotek Hjärtat)
Stockholm	 Haninge	 Haninge	 Brandbergens Centrum	 Apoteket Sparvugglan	 Kvar i Apoteket AB
Stockholm	 Haninge	 Västerhaninge	 Västerhaninge Centrum	 Apoteket Sjöhästen	 Kvar i Apoteket AB
Stockholm	 Nynäshamn	 Nynäshamn	 Centralgatan 16	 Apoteket Måsen	 Grupp 1 (Apotek Hjärtat)
Stockholm	 Nacka	 Älta	 Älta centrum Oxelvägen 42	 Apoteket Stensötan	 Grupp 1 (Apotek Hjärtat)
Stockholm	 Solna	 Solna	 Hotellgatan 1 Solna Centrum	 Apoteket Kvarnen	 Grupp 1 (Apotek Hjärtat)
Stockholm	 Solna	 Solna	 Storgatan 70	 Apoteket Ulven	 Kvar i Apoteket AB
Stockholm	 Sundbyberg	 Rissne	 Rissne torg 3	 Apoteket Rissne	 Grupp 2 (Kronans Droghandel)
Stockholm	 Sundbyberg	 Sundbyberg	 Sturegatan 4	 Apoteket Kronan	 Grupp 3 (Medstop)
Stockholm	 Sundbyberg	 Sundbyberg	 Hallonbergens centrum	 Apoteket Hjorten	 Småföretagare
Stockholm	 Järfälla	 Järfälla	 Jakobsbergs Centrum Riddarplatsen 20	 Apoteket Skytten	 Grupp 2 (Kronans Droghandel)
Stockholm	 Järfälla	 Järfälla	 Viksjö Centrum Viksjöplan 47	 Apoteket Stenbocken	 Kvar i Apoteket AB
Stockholm	 Järfälla	 Järfälla	 Gjutarplan 37 Kallhälls centrum	 Apoteket Väduren	 Grupp 1 (Apotek Hjärtat)
Stockholm	 Upplands-Bro	 Bro	 Bro Centrum	 Apoteket Fenix	 Småföretagare
Stockholm	 Upplands-Bro	 Kungsängen	 Furuhällsplan 3	 Apoteket Liljan	 Grupp 1 (Apotek Hjärtat)
Stockholm	 Stockholm	 Vällingby	 Vällingbygången 4	 Apoteket Ormen	 Grupp 1 (Apotek Hjärtat)
Stockholm	 Stockholm	 Hässelby	 Hässelby Torg 22	 Apoteket Staren	 Grupp 1 (Apotek Hjärtat)
Stockholm	 Stockholm	 Hässelby	 Åkermyntans Centrum	 Apoteket Åkermyntan	 Småföretagare
Stockholm	 Stockholm	 Spånga	 Värsta Allé 9	 Apoteket Pelikanen	 Kvar i Apoteket AB
Stockholm	 Stockholm	 Spånga	 Tenstagången 25	 Apoteket Pingvinen	 Grupp 3 (Medstop)
Stockholm	 Stockholm	 Spånga	 Rinkebytorg 8	 Apoteket Jaguaren	 Grupp 2 (Kronans Droghandel)
Stockholm	 Stockholm	 Bromma	 Brommaplan	 Apoteket Duvan	 Kvar i Apoteket AB
Stockholm	 Stockholm	 Bromma	 Tranebergsplan 1	 Apoteket Tranan	 Småföretagare
Stockholm	 Stockholm	 Bromma	 Nockeby Torg 2-4	 Apoteket Domherren	 Grupp 1 (Apotek Hjärtat)
Stockholm	 Stockholm	 Bromma	 Blackebergs centrum	 Apoteket Rödhaken	 Grupp 1 (Apotek Hjärtat)
Stockholm	 Ekerö	 Ekerö	 Tegelbruksvägen 1C	 Apoteket Tidlösan	 Kvar i Apoteket AB
Stockholm	 Stockholm	 Vällingby	 Indalsbacken 17	 Apoteket Malvan	 Kvar i Apoteket AB
Stockholm	 Stockholm	 Kista	 Kista Galleria	 Apoteket Vasen	 Grupp 1 (Apotek Hjärtat)
